Series Title,Year Released,Content Rating,IMDB Rating,R Rating,Genre,No of Seasons,Streaming Platform
Friday Night Lights,2006,16+,8.6,85,"Drama, Sport",5,Multiple Streaming Platforms
Succession,2018,18+,8.6,85,"Drama, 2018",2,Multiple Streaming Platforms
Bosch,2014,18+,8.4,85,"Crime, Drama",6,Prime Video
Deadwood,2004,18+,8.6,85,"Drama, Crime",3,Multiple Streaming Platforms
Pretty Little Liars,2010,16+,7.4,84,"Drama, Mystery",7,Multiple Streaming Platforms
Raised by Wolves,2020,18+,8.6,84,"Drama, Fantasy",1,HBO MAX
Watchmen,2019,18+,8.1,84,"Crime, Drama",1,Multiple Streaming Platforms
Death Note,2006,16+,9,84,"Animation, Anime",1,Multiple Streaming Platforms
Atlanta,2016,18+,8.6,84,"Comedy, Drama",2,Multiple Streaming Platforms
Bates Motel,2013,16+,8.2,84,"Crime, Drama",5,Netflix
Marvel's The Punisher,2017,18+,8.5,84,"Action & Adventure, Crime",2,Netflix
The Leftovers,2014,18+,8.3,84,"Drama, Fantasy",3,Multiple Streaming Platforms
Doom Patrol,2019,18+,8,84,"Action & Adventure, Comedy",2,Multiple Streaming Platforms
Mr. Bean,1990,7+,8.5,84,"Comedy, Family",1,Multiple Streaming Platforms
The Sinner,2017,16+,7.9,84,"Drama, Crime",3,Multiple Streaming Platforms
30 Rock,2006,16+,8.2,84,"Comedy, 2006",7,Multiple Streaming Platforms
The Man in the High Castle,2015,7+,8,84,"Drama, Science-Fiction",4,Prime Video
Chappelle's Show,2003,18+,8.8,84,"Comedy, Musical",3,Multiple Streaming Platforms
Elementary,2012,16+,7.9,84,"Crime, Drama",7,Hulu
Bob's Burgers,2011,16+,8.1,84,"Animation, Comedy",10,Multiple Streaming Platforms
Naruto Shippūden,2007,7+,8.6,84,"Action & Adventure, Anime",24,Multiple Streaming Platforms
Dead to Me,2019,18+,8,84,"Comedy, Drama",2,Netflix
Misfits,2009,18+,8.2,84,"Comedy, Drama",5,Hulu
Altered Carbon,2018,18+,8,84,"Mystery, Science-Fiction",2,Netflix
Good Girls,2018,16+,7.9,84,"Drama, Comedy",3,Multiple Streaming Platforms
Teen Wolf,2011,16+,7.6,84,"Horror, Comedy",6,Prime Video
Good Omens,2019,18+,8.1,84,"Comedy, Drama",1,Prime Video
Master of None,2015,18+,8.3,84,"Comedy, Drama",2,Netflix
Barry,2018,18+,8.3,84,"Comedy, Action & Adventure",2,Multiple Streaming Platforms
Tom Clancy's Jack Ryan,2018,18+,8.1,84,"Action & Adventure, Drama",2,Prime Video
The Pacific,2010,18+,8.3,84,"Drama, History",1,Multiple Streaming Platforms
Making a Murderer,2015,16+,8.6,84,"Documentary, Crime",2,Netflix
Unorthodox,2020,18+,8,84,"Drama, 2020",1,Netflix
The Office,2001,16+,8.5,84,"Comedy, Drama",3,Multiple Streaming Platforms
The Good Wife,2009,16+,8.3,84,"Crime, Drama",7,Multiple Streaming Platforms
Taboo,2017,16+,8.4,84,"Drama, Mystery",1,Hulu
Lovecraft Country,2020,18+,7.3,84,"Drama, Fantasy",1,Multiple Streaming Platforms
Upload,2020,18+,8,84,"Comedy, Mystery",1,Prime Video
Elite,2018,18+,7.6,84,"Crime, Drama",3,Netflix
Doctor Who,2005,7+,8.6,84,"Action & Adventure, Drama",12,Multiple Streaming Platforms
Our Planet,2019,7+,9.3,84,"Documentary, 2019",1,Netflix
Star Wars: The Clone Wars,2008,7+,8.2,83,"Animation, Children",7,Disney+
American Horror Story,2011,18+,8,83,"Drama, Horror",9,Multiple Streaming Platforms
One Piece,1999,7+,8.7,83,"Action & Adventure, Anime",19,Multiple Streaming Platforms
Castle,2009,16+,8.1,83,"Comedy, Crime",8,Unknown
11.22.63,2016,18+,8.2,83,"Mystery, Science-Fiction",1,Hulu
Kingdom,2014,18+,8.5,83,"Drama, Sport",3,Netflix
Gotham,2014,16+,7.8,83,"Drama, Action & Adventure",5,Multiple Streaming Platforms
Pushing Daisies,2007,7+,8.3,83,"Comedy, Drama",2,Free Services
The Night Manager,2016,16+,8.1,83,"Crime, Drama",1,Prime Video
Grimm,2011,16+,7.8,83,"Action & Adventure, Crime",6,Prime Video
Hunter x Hunter,2011,16+,8.9,83,"Action & Adventure, Anime",6,Multiple Streaming Platforms
Bones,2005,16+,7.8,83,"Mystery, Comedy",12,Multiple Streaming Platforms
Ash vs Evil Dead,2015,18+,8.4,83,"Comedy, Horror",3,Multiple Streaming Platforms
Frasier,1993,7+,8,83,"Comedy, 1993",11,Multiple Streaming Platforms
The Morning Show,2019,18+,8.4,83,"Comedy, Drama",1,Apple TV+
Russian Doll,2019,18+,7.9,83,"Comedy, Drama",1,Netflix
One-Punch Man,2015,7+,8.8,83,"Animation, Anime",2,Multiple Streaming Platforms
Veronica Mars,2004,16+,8.3,83,"Drama, Crime",4,Hulu
Oz,1997,18+,8.7,83,"Drama, Crime",6,Multiple Streaming Platforms
Atypical,2017,18+,8.3,83,"Comedy, Drama",3,Netflix
After Life,2019,18+,8.4,83,"Comedy, Drama",2,Netflix
Criminal Minds,2005,16+,8.1,83,"Crime, Drama",15,Multiple Streaming Platforms
Steins;Gate,2011,16+,8.8,83,"Animation, Anime",2,Multiple Streaming Platforms
Black Books,2000,7+,8.5,83,"Comedy, 2000",3,Multiple Streaming Platforms
Star Trek,1966,7+,8.3,83,"Action & Adventure, Drama",3,Multiple Streaming Platforms
Banshee,2013,18+,8.4,83,"Drama, Thriller",4,Cinemax
Narcos: Mexico,2018,18+,8.4,83,"Action & Adventure, Crime",2,Netflix
Sharp Objects,2018,18+,8.2,83,"Crime, Drama",1,Multiple Streaming Platforms
Battlestar Galactica,2004,16+,8.7,83,"Action & Adventure, Fantasy",4,Free Services
Black Sails,2014,18+,8.2,83,"Drama, Action & Adventure",4,Starz
The OA,2016,18+,7.9,83,"Drama, Fantasy",2,Netflix
Veep,2012,18+,8.3,83,"Comedy, 2012",7,Multiple Streaming Platforms
Gilmore Girls,2000,16+,8.1,83,"Comedy, Drama",7,Netflix
The Outsider,2020,18+,7.8,82,"Mystery, Drama",1,Multiple Streaming Platforms
The Killing,2011,18+,8.2,82,"Crime, Drama",4,Hulu
Big Mouth,2017,18+,8,82,"Animation, Comedy",4,Netflix
The Newsroom,2012,16+,8.6,82,"Drama, 2012",3,Multiple Streaming Platforms
Burn Notice,2007,7+,7.9,82,"Action & Adventure, Crime",8,Multiple Streaming Platforms
Farscape,1999,16+,8.3,82,"Science-Fiction, Action & Adventure",5,Prime Video
Person of Interest,2011,16+,8.4,82,"Action & Adventure, Drama",5,Netflix
The Alienist,2018,18+,7.7,82,"Drama, Mystery",2,Multiple Streaming Platforms
Preacher,2016,18+,8,82,"Drama, Action & Adventure",4,Hulu
Never Have I Ever,2020,16+,7.9,82,"Comedy, Romance",1,Netflix
True Blood,2008,18+,7.8,82,"Drama, Fantasy",7,Multiple Streaming Platforms
Spartacus,2010,18+,8.5,82,"Action & Adventure, Drama",4,Multiple Streaming Platforms
Tokyo Ghoul,2014,16+,7.9,82,"Action & Adventure, Anime",4,Multiple Streaming Platforms
Californication,2007,18+,8.3,82,"Comedy, Drama",7,Multiple Streaming Platforms
